x,y,layer1,layer2,voltage1,voltage2,current
3665.59,4365.9,POWER,BOTTOM_LAYER,0.000620366,0.000620347,0.000141186
3665.59,4405.27,TOP_LAYER,GND,0.000620116,0.000620111,3.98275e-05
3665.59,4405.27,GND,POWER,0.000620111,0.000620042,3.93329e-05
3665.59,4405.27,POWER,BOTTOM_LAYER,0.000620042,0.000620037,3.93329e-05
3665.59,4444.64,TOP_LAYER,GND,0.000619676,0.000619672,2.71407e-05
3665.59,4444.64,GND,POWER,0.000619672,0.000619627,2.57196e-05
3665.59,4444.64,POWER,BOTTOM_LAYER,0.000619627,0.000619624,2.57196e-05
3672.92,3504.68,TOP_LAYER,GND,0.00128591,0.00128774,-0.0135662
3672.92,3504.68,GND,POWER,0.00128774,0.00128183,0.00336502
3672.92,3504.68,POWER,BOTTOM_LAYER,0.00128183,0.00128138,0.00336502
3672.92,3530.27,TOP_LAYER,GND,0.00128082,0.00127993,0.00660533
3672.92,3530.27,GND,POWER,0.00127993,0.00127636,0.00203425
3672.92,3530.27,POWER,BOTTOM_LAYER,0.00127636,0.00127608,0.00203425
3672.92,3555.86,TOP_LAYER,GND,0.00127923,0.00127993,-0.00513779
3672.92,3555.86,GND,POWER,0.00127993,0.00127636,0.00203425
3672.92,3555.86,POWER,BOTTOM_LAYER,0.00127636,0.00127608,0.00203425
3672.92,3709.41,TOP_LAYER,GND,0.00121193,0.00121261,-0.00503627
3672.92,3709.41,GND,POWER,0.00121261,0.00121879,-0.00351878
3672.92,3709.41,POWER,BOTTOM_LAYER,0.00121879,0.00121926,-0.00351878
3672.92,3735,TOP_LAYER,GND,0.00120406,0.00120283,0.00914846
3672.92,3735,GND,POWER,0.00120283,0.00121258,-0.00555926
3672.92,3735,POWER,BOTTOM_LAYER,0.00121258,0.00121333,-0.00555926
3672.92,3760.59,TOP_LAYER,GND,0.00120233,0.00120283,-0.00366103
3672.92,3760.59,GND,POWER,0.00120283,0.00120823,-0.0030802
3672.92,3760.59,POWER,BOTTOM_LAYER,0.00120823,0.00120865,-0.0030802
3675.44,3985,TOP_LAYER,GND,0.000822914,0.000822656,0.00191037
3675.44,3985,GND,POWER,0.000822656,0.00082168,0.00055646
3675.44,3985,POWER,BOTTOM_LAYER,0.00082168,0.000821605,0.00055646
3675.44,4010.59,TOP_LAYER,GND,0.000820312,0.000822656,-0.0173687
3675.44,4010.59,GND,POWER,0.000822656,0.00081987,0.00158839
3675.44,4010.59,POWER,BOTTOM_LAYER,0.00081987,0.000819655,0.00158839
3675.44,4036.18,TOP_LAYER,GND,0.000820312,0.000818877,0.0106345
3675.44,4036.18,GND,POWER,0.000818877,0.000813974,0.00279461
3675.44,4036.18,POWER,BOTTOM_LAYER,0.000813974,0.000813596,0.00279461
3675.44,4189.72,TOP_LAYER,GND,0.000757358,0.000757654,-0.0021932
3675.44,4189.72,GND,POWER,0.000757654,0.000768011,-0.00590284
3675.44,4189.72,POWER,BOTTOM_LAYER,0.000768011,0.000768808,-0.00590284
3675.44,4215.31,TOP_LAYER,GND,0.000757589,0.000757654,-0.000478983
3675.44,4215.31,GND,POWER,0.000757654,0.000764069,-0.00365602
3675.44,4215.31,POWER,BOTTOM_LAYER,0.000764069,0.000764563,-0.00365602
3675.44,4240.9,TOP_LAYER,GND,0.000751101,0.000750754,0.00256963
3675.44,4240.9,GND,POWER,0.000750754,0.000756832,-0.00346421
3675.44,4240.9,POWER,BOTTOM_LAYER,0.000756832,0.000757299,-0.00346421
3696.54,3711.37,TOP_LAYER,GND,0.00120406,0.00120381,0.00183555
3696.54,3711.37,GND,POWER,0.00120381,0.00121354,-0.00554436
3696.54,3711.37,POWER,BOTTOM_LAYER,0.00121354,0.00121429,-0.00554436
3696.54,3736.97,TOP_LAYER,GND,0.00119188,0.00118756,0.0319764
3696.54,3736.97,GND,POWER,0.00118756,0.00120106,-0.00769102
3696.54,3736.97,POWER,BOTTOM_LAYER,0.00120106,0.0012021,-0.00769102
3697.53,3571.61,TOP_LAYER,GND,0.00128234,0.00128175,0.00438995
3697.53,3571.61,GND,POWER,0.00128175,0.00127877,0.00169878
3697.53,3571.61,POWER,BOTTOM_LAYER,0.00127877,0.00127854,0.00169878
3699.06,4191.69,TOP_LAYER,GND,0.000740553,0.000738668,0.0139705
3699.06,4191.69,GND,POWER,0.000738668,0.000750892,-0.00696709
3699.06,4191.69,POWER,BOTTOM_LAYER,0.000750892,0.000751833,-0.00696709
3699.06,4217.28,TOP_LAYER,GND,0.000740553,0.000738668,0.0139705
3699.06,4217.28,GND,POWER,0.000738668,0.000748121,-0.00538777
3699.06,4217.28,POWER,BOTTOM_LAYER,0.000748121,0.000748848,-0.00538777
3700.04,4051.93,TOP_LAYER,GND,0.000824596,0.000825621,-0.00758875
3700.04,4051.93,GND,POWER,0.000825621,0.000821914,0.00211251
3700.04,4051.93,POWER,BOTTOM_LAYER,0.000821914,0.000821629,0.00211251
3704.96,3297.99,TOP_LAYER,GND,0.00146471,0.00146483,-0.000898284
3704.96,3297.99,GND,POWER,0.00146483,0.00146545,-0.000352733
3704.96,3297.99,POWER,BOTTOM_LAYER,0.00146545,0.0014655,-0.000352733
3704.96,3337.36,TOP_LAYER,GND,0.00146471,0.00146466,0.000342386
3704.96,3337.36,GND,POWER,0.00146466,0.00146466,3.20861e-06
3704.96,3337.36,POWER,BOTTOM_LAYER,0.00146466,0.00146466,3.20861e-06
3704.96,3376.73,TOP_LAYER,GND,0.00146282,0.0014628,0.000159269
3704.96,3376.73,GND,POWER,0.0014628,0.00146348,-0.000385252
3704.96,3376.73,POWER,BOTTOM_LAYER,0.00146348,0.00146353,-0.000385252
3704.96,4365.9,TOP_LAYER,GND,0.000617079,0.000617107,-0.000205466
3704.96,4365.9,GND,POWER,0.000617107,0.000616976,7.46916e-05
3704.96,4365.9,POWER,BOTTOM_LAYER,0.000616976,0.000616966,7.46916e-05
3704.96,4405.27,TOP_LAYER,GND,0.000615961,0.000615943,0.000136266
3704.96,4405.27,GND,POWER,0.000615943,0.000615999,-3.19248e-05
3704.96,4405.27,POWER,BOTTOM_LAYER,0.000615999,0.000616003,-3.19248e-05
3704.96,4444.64,TOP_LAYER,GND,0.000615058,0.000615059,-4.68873e-06
3704.96,4444.64,GND,POWER,0.000615059,0.000615131,-4.09178e-05
3704.96,4444.64,POWER,BOTTOM_LAYER,0.000615131,0.000615136,-4.09178e-05
3709.34,3527.32,TOP_LAYER,GND,0.00129063,0.00129265,-0.0149871
3709.34,3527.32,GND,POWER,0.00129265,0.00129119,0.000831567
3709.34,3527.32,POWER,BOTTOM_LAYER,0.00129119,0.00129108,0.000831567
3709.34,3550.94,TOP_LAYER,GND,0.00128936,0.00129265,-0.0243867
3709.34,3550.94,GND,POWER,0.00129265,0.00129119,0.000831567
